time,tl1,tl2,sc,reward
42,0.15,0.85,13.249642885588386,-4.691824883172035
43,0.5,0.5,13.42102198639394,-4.336136941941339
44,0.5,0.15,13.59451599224387,-5.035342702071587
45,0.85,0.85,12.351284937367533,-4.1719894984781005
46,0.85,0.5,12.576280046668108,-3.887414906537465
47,0.15,0.15,14.390571347769791,-5.388012591916237
48,0.5,0.5,13.004554993415086,-4.435060218183347
49,0.5,0.85,12.601773329121709,-4.1548225490293165
50,0.85,0.5,12.831271857825291,-3.8506532943881187
51,0.85,0.85,12.280831901066463,-3.844438939208462
52,0.5,0.15,13.697733162061333,-4.695716087598248
53,0.85,0.85,12.277084841706504,-3.984817750324021
54,0.5,0.15,13.670868070688423,-4.747218111251793
55,0.5,0.85,12.851736381877622,-4.136748318784206
56,0.5,0.85,12.510157674510943,-4.088580113871574
57,0.85,0.5,12.801455927907671,-3.862431420480096
58,0.5,0.5,13.121614203634797,-4.352624154648341
59,0.5,0.15,13.658953461223323,-4.84786220569695
60,0.5,0.85,12.890741492539004,-4.18825034243775
61,0.15,0.15,14.451963206007816,-5.341539222207105
62,0.5,0.85,12.629352631430496,-4.38941554977186
63,0.15,0.85,12.959828434247871,-4.810724629744666
64,0.85,0.15,14.44190466795802,-4.1038772805613455
65,0.85,0.5,12.784639455472313,-4.787196661489749
66,0.85,0.5,12.497548298875872,-4.0953295860191385
67,0.5,0.15,13.54602229314958,-4.922462768758034
68,0.15,0.85,13.70805657967804,-4.503055298371013
69,0.15,0.15,14.901018029198525,-5.36477590706167
70,0.85,0.5,12.649416433953856,-4.497448251023361
71,0.5,0.15,13.525373614792862,-5.105234178517644
72,0.85,0.15,12.939439670444234,-4.985958468142073
73,0.5,0.5,13.415746078327698,-4.501009069011352
74,0.15,0.85,13.17320939996964,-4.587259801326489
75,0.5,0.15,14.609526080417712,-4.567711260798109
76,0.5,0.5,13.20602873269464,-4.698855621495367
77,0.5,0.85,12.59469773283227,-4.138335336322315
78,0.15,0.85,12.954348074996009,-4.752473133943557
79,0.85,0.5,13.269292615048908,-3.8372881507580314
80,0.15,0.15,14.437010694525693,-5.515814358616347
81,0.85,0.85,12.206907237906652,-4.008214218843281
82,0.15,0.85,13.25420309650088,-4.493354359920061
83,0.85,0.15,14.563883388640605,-4.010131622819611
84,0.85,0.5,12.758528673393755,-4.775418535397772
85,0.85,0.15,12.954464433375025,-4.799106287317383
86,0.15,0.15,14.698513317207075,-5.504196016189065
87,0.15,0.5,13.583230525551137,-4.997818973707253
88,0.15,0.15,14.422695803217422,-5.492577673761782
89,0.5,0.15,13.634324521967217,-5.168801438266055
90,0.85,0.15,12.926490164073764,-5.219923153334673
91,0.15,0.15,14.760870457722184,-5.573906070752762
92,0.15,0.15,14.279715948275909,-5.457722646479933
93,0.85,0.85,12.246974315602833,-4.148593029958841
94,0.15,0.85,13.258417742546357,-4.504972702347343
95,0.85,0.85,12.561976264607317,-3.680663659573642
96,0.85,0.15,13.16696291437767,-4.575641458899207
97,0.5,0.5,13.394972190316878,-4.501009069011352
98,0.5,0.5,13.003565760652666,-4.270188091113333
99,0.15,0.15,14.268821112279644,-5.446104304052652
100,0.15,0.85,13.19988664820455,-4.843981820379572
101,0.15,0.85,12.875222304375193,-5.140192592990634
102,0.85,0.15,14.338520697245048,-4.220859623157645
103,0.85,0.85,12.813737970700265,-4.312368309593659
104,0.85,0.15,13.243005610689433,-4.388469710745127
105,0.15,0.5,14.53337665528418,-4.720017162561508
106,0.85,0.15,13.904541853397603,-4.210519550047917
107,0.15,0.85,14.635678486778085,-4.371898074712322
108,0.85,0.5,13.405744072691018,-3.712608453134836
109,0.85,0.85,12.31830377326823,-3.9614212818047614
110,0.5,0.5,13.014777065293426,-4.187752027578327
111,0.85,0.15,13.274677035495655,-4.586620666667713
112,0.85,0.5,12.667327461218592,-4.592327558308773
113,0.5,0.5,13.090618243745634,-4.303162516527337
114,0.5,0.5,13.000268318111265,-4.319649729234338
115,0.15,0.85,13.221910250256686,-4.656969855890186
116,0.85,0.5,13.363270342359833,-3.820641154386337
117,0.85,0.15,12.906608621955783,-5.0682455671212185
118,0.15,0.15,14.727790075507945,-5.5274327010436295
119,0.15,0.5,13.592278713964976,-4.990909717894994
120,0.5,0.85,12.528038798308007,-4.33966032732112
121,0.85,0.85,12.246907112343408,-3.8444389392084615
122,0.15,0.85,13.260178417696125,-4.469957891400801
123,0.15,0.5,13.706114578638516,-5.118754761030438
124,0.5,0.15,13.950328636326313,-4.925567544399267
125,0.15,0.5,14.08368182725214,-5.024011469647192
126,0.5,0.15,14.021552714992358,-4.766352386823611
127,0.15,0.5,14.062739962927745,-4.967800359378624
128,0.15,0.85,12.918852342322333,-4.928026539670354
129,0.85,0.85,12.52495474992013,-3.8444389392084615
130,0.85,0.85,12.15300226073478,-3.7040601280929017
131,0.85,0.85,12.137713590472874,-3.5402848484580822
132,0.15,0.85,13.230392586538263,-4.446880990210929
133,0.15,0.5,13.70417325640732,-5.067252737376894
134,0.85,0.5,12.869225954195084,-4.193119212717469
135,0.85,0.15,12.907314729709192,-5.044849098601959
136,0.85,0.15,12.861057048984375,-5.280092053112111
137,0.15,0.15,14.727217130865522,-5.504196016189065
138,0.15,0.5,13.604565795234011,-4.957935292480992
139,0.15,0.15,14.453493768317358,-5.492577673761781
140,0.5,0.5,13.02928581247559,-4.682368408788367
141,0.85,0.5,12.585595290544234,-4.258146163665793
142,0.85,0.85,12.269985968441327,-3.891231876246982
143,0.15,0.85,13.211768183236778,-4.4470407738756235
144,0.15,0.85,12.898249739889508,-5.058544628670266
145,0.85,0.5,13.269974385517685,-3.9005683005035534
146,0.5,0.85,12.977010549262967,-4.0731486017092955
147,0.15,0.5,13.566172516907638,-4.884939040393702
148,0.85,0.5,12.868176726405645,-4.021806361720447
149,0.5,0.85,12.925883192316794,-4.005159365348751
150,0.5,0.15,14.017536524957826,-4.609497182109883
151,0.85,0.5,12.538534648730408,-4.435914902480643
152,0.5,0.85,12.832264717311512,-3.9304206568406412
153,0.85,0.5,12.85894216223077,-3.742620593136618
154,0.15,0.15,14.41728857178555,-5.4112492767708025
155,0.15,0.85,13.165130544085201,-4.750715513631921
156,0.85,0.15,14.499661454980671,-4.103717496896651
157,0.5,0.85,13.623009957122555,-4.207540056892277
158,0.85,0.15,13.74147816479671,-4.222777027133977
159,0.85,0.5,12.689420326245974,-4.615724026828032
160,0.5,0.15,13.538928900540618,-4.962346449984294
161,0.5,0.5,13.078417706342453,-4.484521856304351
162,0.5,0.85,12.566761522549495,-4.11509865146775
163,0.15,0.85,12.947593734556008,-4.7758696024628176
164,0.85,0.5,13.34645338539869,-3.820641154386337
165,0.15,0.85,13.860883649241408,-4.420768199391867
166,0.85,0.85,12.561976264607317,-3.680663659573642
167,0.5,0.5,13.002246783636107,-4.286675303820335
168,0.15,0.15,14.276372243254244,-5.422867619198086
169,0.5,0.15,13.65970683228039,-5.0493101782519645
170,0.85,0.5,12.57533472851366,-4.602358883197946
171,0.15,0.5,13.956795712841965,-4.7569342135935635
172,0.85,0.85,12.310532197751089,-3.8210424706892017
173,0.85,0.15,13.19045795499565,-4.563863332807229
174,0.15,0.5,14.535802083216268,-4.748122717695791
175,0.85,0.85,12.313034558356392,-3.750853065131422
176,0.15,0.5,13.669217770305757,-4.803269437855667
177,0.15,0.85,12.910858001110057,-4.928186323335048
178,0.15,0.5,13.635042851012901,-5.189093131144079
179,0.5,0.5,13.104467502419515,-4.583445132546359
180,0.15,0.85,13.292616216919377,-4.738298252881166
181,0.5,0.85,12.64024352344633,-4.313141789724944
182,0.85,0.5,12.805705637749899,-3.982082464158879
183,0.15,0.15,14.444889743422467,-5.457722646479933
184,0.5,0.85,12.565249588596346,-4.274793160037489
185,0.85,0.15,13.737270400443524,-4.316203117546322
186,0.85,0.85,12.680797807784408,-4.21878243551662
187,0.15,0.15,14.341995761129905,-5.271829167643409
188,0.15,0.85,13.1635302683916,-4.79750845067044
189,0.5,0.15,14.55138891961007,-4.6192132844516545
190,0.5,0.5,13.20602873269464,-4.715342834202369
191,0.85,0.85,12.17369319305342,-3.891231876246981
192,0.5,0.15,13.648835120647803,-4.770614579771052
193,0.5,0.85,12.88077350893266,-4.1483666612114884
194,0.5,0.5,13.120624970872377,-4.253700878406333
195,0.15,0.5,13.641542989495143,-4.948666083806804
196,0.5,0.85,12.522762890241767,-4.33966032732112
197,0.5,0.85,12.502758741107794,-4.168187692659403
198,0.5,0.85,12.50022425340596,-4.151700479952402
199,0.5,0.85,12.498207787384153,-4.071933117499879
200,0.85,0.15,13.655613517578402,-4.328141027302993
201,0.85,0.15,12.886407179677962,-5.432248990319649
202,0.85,0.5,12.610579600604586,-4.416145837032032
203,0.15,0.5,13.882866999673679,-4.714701398614206
204,0.85,0.85,12.313034558356392,-3.750853065131422
205,0.5,0.15,13.63593285753225,-4.815207347612338
206,0.15,0.15,14.380645819326784,-5.550669385898197
207,0.15,0.85,13.17445373424713,-4.844141604044266
208,0.5,0.5,13.42695738296846,-4.385598580062343
209,0.85,0.85,12.224868021306513,-4.078403624401061
210,0.15,0.85,13.263958366081383,-4.434943080454258
211,0.85,0.85,12.536615800865988,-3.7040601280929017
212,0.5,0.15,13.606768106651025,-4.850381942223574
213,0.85,0.15,12.931791501321216,-5.021133062753311
214,0.5,0.85,13.362408512756806,-4.064812112023622
215,0.5,0.5,13.131176787004858,-4.187752027578327
216,0.5,0.85,12.59469773283227,-4.138335336322315
217,0.5,0.15,13.968064713393296,-4.689104760897711
218,0.5,0.85,12.950806577093196,-4.256239578798295
219,0.15,0.85,12.958068800988856,-4.76409147637084
220,0.85,0.5,13.308922062669264,-3.8489064931853147
221,0.15,0.85,13.904880241239274,-4.444004884246433
222,0.15,0.5,13.698571743002276,-5.100227162790896
223,0.5,0.15,13.94934171614726,-4.8974619892649836
224,0.5,0.15,13.538032380960916,-5.348606217831457
225,0.5,0.85,12.901177405515735,-4.204737555144751
226,0.5,0.15,13.97948854413509,-4.660999205763428
227,0.15,0.15,14.398346826652093,-5.585524413180045
228,0.85,0.85,12.217359215288567,-4.055007155881801
229,0.85,0.5,12.562172223317098,-3.9225895011487015
230,0.5,0.15,13.542812920098951,-4.9458592372772925
231,0.85,0.5,12.506263806335351,-4.271351523631186
232,0.15,0.15,14.410439973613759,-5.376394249488953
233,0.15,0.85,13.142461202966148,-4.750875297296615
234,0.5,0.5,13.422340963410498,-4.319649729234337
235,0.5,0.85,12.622510251670935,-4.2744735927081
236,0.85,0.85,12.222144557216755,-3.727456596612162
237,0.5,0.85,12.598023231419281,-3.91065159139203
238,0.15,0.85,12.935159241396935,-4.7411743588456625
239,0.15,0.85,12.870034766506773,-5.163589061509894
240,0.85,0.85,12.517369900930433,-3.9614212818047614
241,0.15,0.5,13.722631178558494,-4.789291142566454
242,0.85,0.5,12.926872425079218,-3.9817628968294914
243,0.5,0.5,13.110073154739894,-4.418573005476345
244,0.85,0.5,12.602627904176362,-4.070186316297075
245,0.5,0.5,13.091937220762196,-4.352624154648341
246,0.15,0.5,13.611338060623147,-4.878327713693165
247,0.15,0.15,14.446868208947306,-5.457722646479933
248,0.85,0.5,12.663618568523706,-4.485670124931383
249,0.15,0.5,13.992227649836764,-4.812985540197436
250,0.85,0.85,12.305915778193128,-3.8210424706892017
251,0.5,0.15,13.631973613899202,-4.831694560319339
252,0.15,0.15,14.39039463655166,-5.515814358616348
253,0.5,0.85,12.599074212778579,-4.321426313411314
254,0.5,0.15,13.964379830687186,-4.722079186311714
255,0.15,0.15,14.37924857627504,-5.620379440461893
256,0.5,0.85,12.59489365136198,-4.342782396398034
257,0.85,0.85,12.229584616545292,-3.774249533650682
258,0.5,0.15,13.639230300073649,-4.803589005185055
259,0.85,0.15,12.933230008217329,-5.032751405180594
260,0.5,0.5,13.41805428810668,-4.550470707132356
261,0.85,0.5,12.603412795964635,-4.030302635070814
262,0.85,0.15,12.924044831951138,-4.904470287486399
263,0.15,0.85,14.353649785233985,-4.267492776531471
264,0.5,0.15,14.74526258746377,-4.492812768625305
265,0.5,0.15,13.52865617335189,-5.3347877062069395
266,0.85,0.5,12.549054785467632,-4.505944524373729
267,0.5,0.15,13.529935462154825,-5.013848473637839
268,0.5,0.15,13.51508044337777,-5.126110910510281
269,0.5,0.5,13.096223896066014,-4.533983494425355
270,0.15,0.85,13.198696872602607,-4.633733171035621
271,0.85,0.85,12.537786275458865,-3.797646002169942
272,0.85,0.15,13.14026838929292,-4.5991977110831606
273,0.85,0.5,12.642585360006624,-4.507691325576532
274,0.5,0.15,13.53893820845544,-4.950568323892317
275,0.15,0.85,13.70805657967804,-4.503055298371013
276,0.85,0.85,12.558096678006297,-3.7508530651314222
277,0.15,0.5,13.682254326842223,-4.796360182043408
278,0.5,0.85,12.51417019437385,-4.266802220680855
279,0.15,0.85,12.95455252618163,-4.810724629744666
280,0.85,0.85,12.490995198964296,-3.797646002169942
281,0.5,0.15,13.594422475695785,-4.8689095404631155
282,0.15,0.5,13.979340602301985,-4.8954216037324425
283,0.5,0.15,14.025509646042037,-4.777970729250894
284,0.85,0.85,12.435982048216719,-4.2889718410744
285,0.15,0.15,14.324032185506809,-5.306684194925257
286,0.5,0.5,12.998949341094708,-4.451547430890348
287,0.85,0.85,12.178322394447635,-3.914628344766241
288,0.85,0.5,12.563525919118613,-3.915680245336443
289,0.85,0.5,12.497986919926173,-4.140082137525119
290,0.15,0.85,13.655304524762148,-4.293126216356451
291,0.85,0.5,13.410360492248977,-3.689211984615576
292,0.5,0.85,12.930766826994796,-4.045043046575012
293,0.85,0.5,12.859422873437408,-3.7825042743628794
294,0.85,0.85,12.2557371829316,-3.8210424706892017
295,0.85,0.85,12.139801611254697,-3.4934919114195626
296,0.5,0.15,13.676086525969795,-4.7191125561175085
297,0.15,0.5,13.981226315587968,-4.86244717831844
298,0.15,0.85,12.911467397308698,-4.93980466576233
299,0.85,0.15,14.391744215795185,-4.174066686119126
300,0.15,0.5,14.795273210506029,-4.886130756840589
301,0.85,0.85,12.302729102306131,-3.8210424706892017
